{'en': '49.09090909090909', 'fr': '50.90909090909091'}
{'en': '71.05263157894737', 'fr': '28.94736842105263'}
{'en': '67.5', 'fr': '32.5'}
{'en': '59.55882352941176', 'fr': '40.44117647058824'}
{'en': '72.32142857142857', 'fr': '27.67857142857143'}
{'en': '35.526315789473685', 'fr': '64.47368421052632'}
{'en': '40.909090909090914', 'fr': '59.090909090909086'}
{'en': '40.5', 'fr': '59.5'}
{'en': '76.41509433962264', 'fr': '23.58490566037736'}
{'en': '77.14285714285715', 'fr': '22.857142857142847'}
{'en': '64.8', 'sk': '35.2'}
{'en': '65.32258064516128', 'sk': '34.67741935483872'}
{'en': '58.27338129496403', 'sk': '41.72661870503597'}
{'en': '50.0', 'sk': '50.0'}
{'en': '79.41176470588235', 'sk': '20.588235294117652'}
{'en': '71.68141592920354', 'sk': '28.31858407079646'}
{'en': '74.31192660550458', 'sk': '25.68807339449542'}
{'en': '45.76271186440678', 'sk': '54.23728813559322'}
{'en': '65.85365853658537', 'sk': '34.14634146341463'}
{'en': '60.902255639097746', 'sk': '39.097744360902254'}
{'en': '52.5974025974026', 'sl': '47.4025974025974'}
{'en': '76.41509433962264', 'sl': '23.58490566037736'}
{'en': '77.88461538461539', 'sl': '22.115384615384613'}
{'en': '72.97297297297297', 'sl': '27.02702702702703'}
{'en': '23.142857142857142', 'sl': '76.85714285714286'}
{'en': '57.446808510638306', 'sl': '42.553191489361694'}
{'en': '77.14285714285715', 'sl': '22.857142857142847'}
{'en': '66.94214876033058', 'sl': '33.05785123966942'}
{'en': '75.70093457943925', 'sl': '24.29906542056075'}
{'en': '80.19801980198021', 'sl': '19.80198019801979'}
{'en': '52.5974025974026', 'it': '47.4025974025974'}
{'en': '64.8', 'it': '35.2'}
{'en': '56.64335664335665', 'it': '43.35664335664335'}
{'en': '43.78378378378379', 'it': '56.21621621621621'}
{'en': '63.77952755905512', 'it': '36.22047244094488'}
{'en': '74.31192660550458', 'it': '25.68807339449542'}
{'en': '65.85365853658537', 'it': '34.14634146341463'}
{'en': '69.82758620689656', 'it': '30.172413793103445'}
{'en': '62.7906976744186', 'it': '37.2093023255814'}
{'en': '63.28125', 'it': '36.71875'}
{'en': '62.7906976744186', 'de': '37.2093023255814'}
{'en': '75.0', 'de': '25.0'}
{'en': '52.25806451612903', 'de': '47.74193548387097'}
{'en': '72.97297297297297', 'de': '27.02702702702703'}
{'en': '72.97297297297297', 'de': '27.02702702702703'}
{'en': '59.55882352941176', 'de': '40.44117647058824'}
{'en': '78.64077669902912', 'de': '21.359223300970882'}
{'en': '82.6530612244898', 'de': '17.346938775510196'}
{'en': '71.68141592920354', 'de': '28.31858407079646'}
{'en': '50.943396226415096', 'de': '49.056603773584904'}
{'en': '63.77952755905512', 'es': '36.22047244094488'}
{'en': '49.390243902439025', 'es': '50.609756097560975'}
{'en': '52.94117647058824', 'es': '47.05882352941176'}
