textblob,time,polyglot,time,chardet,time,langDedect,time,guess_language,time,langid,time,fasttext,time,cld2,time,spacy,time,nltkDetect,time,whatlang,time,langua
True,0.19,True,0.02,False,0.0,True,0.27,UNKNOWN,0.0,True,1.11,True,0.0,True,0.0,True,11.47,True,2.31,True,0.07,True,0.23
True,0.15,True,0.01,False,0.0,True,0.0,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.61,True,2.14,True,0.06,True,0.21
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.47,True,0.88,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.01,True,0.0,True,0.0,True,11.28,True,0.51,True,0.06,True,0.2
True,0.16,True,0.0,False,0.0,True,0.02,UNKNOWN,0.0,True,0.01,True,0.0,True,0.0,True,11.35,True,3.02,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.22,True,0.9,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.36,True,1.25,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.19,True,1.04,True,0.06,True,0.2
True,0.14,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.31,True,0.61,True,0.06,True,0.2
True,0.18,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.15,True,1.15,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.0,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.26,True,1.41,True,0.06,True,0.2
True,0.14,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.14,True,0.6,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.26,True,0.62,True,0.06,True,0.2
True,0.15,True,0.0,False,0.01,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.03,True,1.44,True,0.06,True,0.2
True,0.15,True,0.0,False,0.01,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.23,True,0.56,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.19,True,1.15,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.23,True,0.61,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.02,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.13,True,0.59,True,0.06,True,0.2
True,0.16,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.26,True,1.28,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.09,True,1.26,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.26,True,1.83,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.17,True,0.7,True,0.06,True,0.2
