,polyglot,langDedect,langid,fasttext,franc,cld2,,,polyglot,langDedect,langid,fasttext,franc,cld2
A,33.625,1.9,2.5375,29.8875,30.7,30.7625,,Pair-wise Accuracy,33.625,1.9,2.5375,29.8875,30.7,30.7625
B,56.4375,94.5125,90.95,65.5125,61.35,59.2625,,Dominant Language ,90.0625,96.4125,93.4875,95.4,92.05,90.025
C,2.025,0.225,0.1875,0.7875,2.3625,1.375,,Both languages,35.65,2.125,2.725,30.675,33.0625,32.1375
D,3.925,0.8625,2.575,2.9125,3.9875,2.2125,,,,,,,,
E,3.9875,2.5,3.75,0.9,1.6,6.3875,,,,,,,,
,polyglot,langDedect,langid,fasttext,franc,cld2,,,polyglot,langDedect,langid,fasttext,franc,cld2
A,52.7625,13.075,7.9375,45.5875,41.025,53.475,,Pair-wise Accuracy,52.7625,13.075,7.9375,45.5875,41.025,53.475
B,33.1125,81.6625,79.6125,43.75,44.6375,32.575,,Dominant Language ,85.875,94.7375,87.55,89.3375,85.6625,86.05
C,4.4625,1.8875,1.5875,5.325,7.625,4.05,,Both languages,57.225,14.9625,9.525,50.9125,48.65,57.525
D,6.825,1.975,7.65,4.5375,5.4875,4.1375,,,,,,,,
E,2.8375,1.4,3.2125,0.8,1.225,5.7625,,,,,,,,
,polyglot,langDedect,langid,fasttext,franc,cld2,,,polyglot,langDedect,langid,fasttext,franc,cld2
A,47.7875,31.5,13.875,45.4125,43.1125,50.5125,,Pair-wise Accuracy,47.7875,31.5,13.875,45.4125,43.1125,50.5125
B,26.3625,48.25,54.9,30.425,29.725,23.5625,,Dominant Language ,74.15,79.75,68.775,75.8375,72.8375,74.075
C,12.475,12.375,5.525,13.875,16.7625,13.85,,Both languages,60.2625,43.875,19.4,59.2875,59.875,64.3625
D,9.225,6.4,21.1625,9.3875,9,5.7375,,,,,,,,
E,4.15,1.475,4.5375,0.9,1.4,6.3375,,,,,,,,
normal concat,,,,,,,,,,,,,,
,polyglot,langDedect,langid,fasttext,franc,cld2,,,polyglot,langDedect,langid,fasttext,franc,cld2
A,72.75,21.95,9.925,44.6125,42.9375,75.0125,,Pair-wise Accuracy,72.75,21.95,9.925,44.6125,42.9375,75.0125
B,12.825,66.05,70.4,35.975,36.45,12.95,,Dominant Language ,85.575,88,80.325,80.5875,79.3875,87.9625
C,11.5125,8.4625,5.2375,12.975,14.575,9.675,,Both languages,84.2625,30.4125,15.1625,57.5875,57.5125,84.6875
D,2.7,3.2625,12.425,6.1875,5.6375,2.15,,,,,,,,
E,0.2125,0.275,2.0125,0.25,0.4,0.2125,,,,,,,,
