textblob,time,polyglot,time,langDedect,time,guess_language,time,langid,time,fasttext,time,cld2,time,nltkDetect,time,whatlang,time,langua
True,0.2,True,0.0,True,0.22,True,0.01,True,1.1,True,0.0,True,0.0,True,1.25,True,0.06,True,0.22
True,0.16,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,2.36,True,0.06,True,0.22
True,0.16,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,1.04,True,0.06,True,0.21
True,0.16,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.65,True,0.06,True,0.21
True,0.16,True,0.0,True,0.02,True,0.0,True,0.0,True,0.0,True,0.0,True,3.3,True,0.06,True,0.21
True,0.15,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.25,True,0.09,True,0.3
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.55,True,0.07,True,0.24
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.17,True,0.06,True,0.21
True,0.14,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.71,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.01,True,0.0,True,0.0,True,1.31,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.55,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.74,True,0.06,True,0.22
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.73,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.58,True,0.06,True,0.2
True,0.14,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.66,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,1.24,True,0.06,True,0.22
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.73,True,0.06,True,0.21
True,0.15,True,0.0,True,0.02,True,0.0,True,0.0,True,0.0,True,0.0,False,0.7,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.39,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.39,True,0.06,True,0.2
