polyglot,time,langDedect,time,langid,time,fasttext,time
7,0.0003,3,0.2445,3,1.1308,7,0.0006
2,0.0001,1,0.0272,2,0.0022,7,0.0003
2,0.0001,1,0.0315,2,0.0022,7,0.0002
7,0.0002,3,0.0293,3,0.0036,7,0.0005
7,0.0001,2,0.0273,3,0.0022,7,0.0002
7,0.0002,7,0.0328,3,0.0028,7,0.0004
2,0.0001,2,0.0326,3,0.0027,7,0.0003
7,0.0002,3,0.0257,3,0.0034,7,0.0004
7,0.0001,2,0.0343,7,0.0023,7,0.0002
2,0.0001,2,0.0392,3,0.0024,7,0.0002
2,0.0002,2,0.0344,1,0.0027,2,0.0003
2,0.0001,2,0.0256,1,0.0025,2,0.0003
2,0.0001,1,0.0201,1,0.0026,7,0.0003
7,0.0002,2,0.0384,3,0.003,7,0.0004
2,0.0001,3,0.0294,3,0.0026,7,0.0003
7,0.0002,3,0.0331,3,0.0037,3,0.0007
2,0.0001,3,0.0419,1,0.0024,7,0.0003
2,0.0001,2,0.0254,1,0.0024,2,0.0003
2,0.0001,1,0.0293,1,0.0024,2,0.0003
2,0.0001,3,0.0249,3,0.0025,7,0.0003
2,0.0001,1,0.024,1,0.0023,1,0.0003
2,0.0001,1,0.024,1,0.0023,2,0.0003
2,0.0001,3,0.0339,2,0.0023,7,0.0003
7,0.0002,3,0.0281,3,0.0032,3,0.0005
7,0.0002,3,0.0341,3,0.0028,3,0.0005
7,0.0002,7,0.0315,3,0.0029,3,0.0005
7,0.0002,3,0.0397,1,0.0026,3,0.0004
2,0.0002,3,0.0272,7,0.0024,3,0.0003
2,0.0002,2,0.0298,1,0.0025,1,0.0004
7,0.0002,3,0.0301,3,0.0029,3,0.0005
1,0.0001,1,0.0279,2,0.0024,7,0.0003
2,0.0001,1,0.0237,1,0.0023,2,0.0002
2,0.0001,1,0.02,1,0.0023,2,0.0002
7,0.0002,3,0.0291,7,0.0029,7,0.0004
7,0.0002,3,0.0337,3,0.0042,7,0.0007
2,0.0001,1,0.0267,2,0.0024,7,0.0003
2,0.0001,1,0.0187,1,0.0023,2,0.0002
2,0.0001,1,0.03,1,0.0024,7,0.0003
2,0.0002,7,0.0298,3,0.003,7,0.0004
1,0.0001,1,0.0168,1,0.0023,2,0.0003
2,0.0001,1,0.0223,1,0.0023,2,0.0003
7,0.0002,3,0.0331,7,0.0035,7,0.0005
7,0.0002,3,0.0303,3,0.0031,7,0.0004
7,0.0002,7,0.0341,3,0.0031,7,0.0004
2,0.0001,2,0.0556,2,0.0025,7,0.0003
2,0.0001,3,0.0346,7,0.0027,7,0.0003
2,0.0001,7,0.046,7,0.0026,7,0.0003
7,0.0002,2,0.0531,7,0.003,7,0.0004
7,0.0002,7,0.0394,7,0.0037,7,0.0005
7,0.0002,2,0.0374,7,0.0028,7,0.0004
7,0.0002,3,0.0345,3,0.0045,3,0.0006
7,0.0002,3,0.0333,3,0.0041,3,0.0005
7,0.0002,3,0.0283,3,0.0032,3,0.0004
1,0.0001,1,0.0239,2,0.0025,7,0.0003
7,0.0002,3,0.0384,3,0.0032,7,0.0004
7,0.0002,7,0.034,3,0.003,7,0.0004
1,0.0001,1,0.0312,2,0.0027,2,0.0002
1,0.0001,2,0.042,7,0.0025,7,0.0003
2,0.0004,1,0.0259,2,0.0025,7,0.0003
1,0.0001,2,0.0232,7,0.0024,7,0.0002
2,0.0001,1,0.0547,1,0.0025,7,0.0004
7,0.0002,3,0.031,7,0.003,7,0.0004
2,0.0001,2,0.0348,1,0.0024,7,0.0003
1,0.0001,1,0.0166,1,0.0134,2,0.0003
2,0.0001,1,0.0268,1,0.0023,2,0.0003
2,0.0001,7,0.0562,1,0.0024,7,0.0003
2,0.0002,7,0.0645,7,0.0026,7,0.0003
2,0.0001,1,0.0322,1,0.0023,7,0.0003
2,0.0002,2,0.0456,2,0.0026,7,0.0003
2,0.0001,7,0.0427,2,0.0025,7,0.0003
3,0.0002,3,0.0202,3,0.0024,3,0.0003
3,0.0002,3,0.015,3,0.0023,3,0.0003
3,0.0001,3,0.0162,3,0.0023,3,0.0003
3,0.0002,3,0.0207,3,0.0031,3,0.0004
3,0.0001,3,0.0134,3,0.0024,3,0.0002
3,0.0001,3,0.0168,3,0.0024,3,0.0003
3,0.0002,3,0.0185,3,0.0027,3,0.0004
3,0.0001,3,0.0133,3,0.0021,3,0.0002
3,0.0001,3,0.0141,3,0.0021,3,0.0002
3,0.0002,3,0.0182,3,0.003,3,0.0004
7,0.0002,3,0.032,3,0.0047,7,0.0007
2,0.0001,2,0.0245,1,0.0025,2,0.0003
7,0.0002,7,0.0391,3,0.0033,7,0.0004
7,0.0002,7,0.0379,3,0.0031,7,0.0004
1,0.0001,2,0.0316,7,0.0026,7,0.0003
7,0.0002,3,0.0486,3,0.0034,7,0.0004
1,0.0001,1,0.02,1,0.0024,2,0.0003
7,0.0002,2,0.0329,1,0.003,7,0.0003
7,0.0002,2,0.0312,7,0.003,7,0.0004
2,0.0002,7,0.0548,3,0.0029,7,0.0003
7,0.0001,2,0.041,1,0.0025,7,0.0003
2,0.0002,2,0.0408,1,0.0028,2,0.0004
2,0.0002,7,0.0408,3,0.0027,7,0.0004
2,0.0001,1,0.0219,1,0.0024,1,0.0003
2,0.0002,7,0.0317,1,0.0027,7,0.0004
7,0.0002,3,0.042,3,0.0034,3,0.0005
7,0.0002,2,0.0312,1,0.0029,2,0.0004
7,0.0002,7,0.0469,3,0.0029,7,0.0004
7,0.0002,3,0.0447,3,0.003,3,0.0004
2,0.0002,1,0.023,1,0.0026,2,0.0003
1,0.0001,2,0.0287,1,0.0023,1,0.0003
1,0.0001,1,0.0259,1,0.0022,1,0.0002
1,0.0001,1,0.0188,1,0.0022,2,0.0003
7,0.0002,3,0.0415,3,0.0026,3,0.0004
2,0.0003,2,0.0341,1,0.0024,2,0.0003
2,0.0002,3,0.0423,3,0.0201,7,0.0004
1,0.0001,1,0.0235,1,0.0078,1,0.0003
7,0.0002,7,0.0285,1,0.007,7,0.0003
1,0.0001,1,0.0133,1,0.0025,1,0.0003
2,0.0002,1,0.0185,1,0.0023,2,0.0003
2,0.0002,1,0.0301,1,0.0026,7,0.0003
1,0.0001,2,0.022,1,0.0023,7,0.0002
7,0.0002,3,0.0248,7,0.0031,7,0.0004
2,0.0001,2,0.0423,2,0.0026,7,0.0003
7,0.0002,3,0.0323,3,0.0033,7,0.0004
7,0.0002,7,0.039,7,0.0031,7,0.0004
2,0.0001,2,0.0488,7,0.0025,7,0.0003
2,0.0001,7,0.0328,3,0.0026,7,0.0003
2,0.0001,7,0.0364,2,0.0025,7,0.0003
7,0.0002,2,0.0437,7,0.0029,7,0.0004
7,0.0002,7,0.0368,7,0.0031,7,0.0004
2,0.0002,2,0.03,2,0.0028,7,0.0003
7,0.0002,3,0.0319,3,0.0044,7,0.0007
2,0.0002,2,0.0329,2,0.0027,7,0.0003
7,0.0002,3,0.0245,3,0.0035,7,0.0004
2,0.0001,7,0.0384,7,0.0026,7,0.0003
1,0.0001,1,0.018,1,0.0023,2,0.0003
7,0.0002,3,0.0269,3,0.0035,7,0.0005
7,0.0002,3,0.0317,3,0.0032,7,0.0004
7,0.0002,3,0.0247,3,0.0036,7,0.0004
1,0.0001,1,0.0222,1,0.0026,7,0.0003
7,0.0002,7,0.0421,3,0.0033,7,0.0004
1,0.0001,7,0.0321,3,0.0026,7,0.0003
1,0.0001,1,0.0206,1,0.0025,7,0.0003
7,0.0002,3,0.0359,3,0.0035,3,0.0004
2,0.0001,1,0.0344,3,0.0026,7,0.0003
7,0.0002,3,0.0332,3,0.0035,7,0.0004
1,0.0001,1,0.0196,1,0.0023,2,0.0002
7,0.0003,3,0.035,3,0.0046,3,0.0007
2,0.0002,7,0.0432,3,0.0029,7,0.0003
7,0.0002,3,0.0331,3,0.0032,3,0.0004
7,0.0002,7,0.0302,7,0.0035,7,0.0005
7,0.0002,3,0.0366,3,0.0032,3,0.0005
2,0.0001,3,0.0316,7,0.0026,7,0.0003
7,0.0002,3,0.04,7,0.0028,7,0.0004
7,0.0002,3,0.026,3,0.0034,7,0.0005
1,0.0003,1,0.0317,1,0.0025,7,0.0003
1,0.0001,2,0.0388,1,0.0023,7,0.0003
2,0.0001,2,0.0457,2,0.0027,7,0.0003
2,0.0002,7,0.0622,2,0.003,7,0.0004
7,0.0002,3,0.0214,3,0.0045,7,0.0004
7,0.0002,7,0.038,3,0.0026,7,0.0003
7,0.0001,7,0.0274,3,0.0022,7,0.0002
7,0.0002,3,0.0297,3,0.0036,7,0.0005
7,0.0002,3,0.0333,3,0.0027,7,0.0003
7,0.0001,7,0.0319,3,0.0023,7,0.0002
7,0.0001,3,0.0293,3,0.0024,7,0.0002
7,0.0001,2,0.0342,3,0.0022,2,0.0002
7,0.0001,7,0.043,3,0.0026,7,0.0003
7,0.0001,3,0.0355,7,0.0024,7,0.0003
2,0.0001,3,0.0285,3,0.0023,3,0.0003
7,0.0002,7,0.0257,3,0.0028,3,0.0004
7,0.0001,3,0.0298,3,0.0024,3,0.0003
