polyglot,time,langDedect,time,langid,time,fasttext,time
3,0.0002,3,0.2419,3,1.1421,7,0.0003
1,0.0001,7,0.0514,7,0.0018,7,0.0002
7,0.0004,3,0.02,3,0.0027,7,0.0003
1,0.0001,2,0.0514,7,0.0019,7,0.0002
7,0.0002,3,0.0224,3,0.0027,7,0.0003
7,0.0001,7,0.0268,3,0.0024,7,0.0003
2,0.0002,3,0.027,3,0.0025,7,0.0003
3,0.0001,7,0.0335,3,0.0022,7,0.0002
1,0.0001,7,0.0415,3,0.0025,7,0.0002
1,0.0001,7,0.0308,3,0.0022,7,0.0002
3,0.0002,3,0.0259,3,0.0025,3,0.0004
3,0.0001,7,0.0403,3,0.0022,1,0.0002
7,0.0002,3,0.0313,3,0.0035,3,0.0006
7,0.0001,7,0.0355,3,0.0024,3,0.0003
7,0.0001,3,0.0265,3,0.0026,3,0.0003
7,0.0002,3,0.0402,3,0.0031,3,0.0004
7,0.0002,3,0.0321,3,0.0036,3,0.0005
7,0.0001,3,0.0282,3,0.0026,3,0.0003
3,0.0002,3,0.0262,3,0.0028,3,0.0004
7,0.0003,0,0.0583,0,0.0021,1,0.0003
7,0.0002,3,0.0844,3,0.0031,3,0.0005
7,0.0001,3,0.0403,3,0.0022,3,0.0003
1,0.0001,7,0.0427,3,0.0021,7,0.0002
1,0.0001,1,0.0459,1,0.0021,2,0.0002
7,0.0002,3,0.0394,3,0.0033,3,0.0006
7,0.0002,3,0.045,3,0.0038,3,0.0007
7,0.0001,3,0.0232,3,0.0021,3,0.0002
3,0.0003,7,0.0421,3,0.0021,3,0.0002
7,0.0001,2,0.054,2,0.0022,3,0.0003
7,0.0001,3,0.0337,3,0.0025,3,0.0003
7,0.0001,3,0.0299,3,0.0026,7,0.0003
7,0.0001,3,0.0359,3,0.0028,7,0.0003
7,0.0002,3,0.0267,3,0.0028,7,0.0003
3,0.0001,3,0.023,3,0.0023,7,0.0002
3,0.0001,3,0.0236,3,0.0024,7,0.0002
7,0.0001,3,0.0304,3,0.0025,7,0.0003
7,0.0003,3,0.0329,3,0.005,3,0.0008
7,0.0002,3,0.0262,3,0.003,7,0.0004
1,0.0001,1,0.031,1,0.0019,2,0.0002
7,0.0002,3,0.0195,3,0.003,7,0.0003
7,0.0001,3,0.0286,3,0.0025,7,0.0003
7,0.0002,3,0.0228,3,0.0032,7,0.0004
2,0.0003,7,0.0407,2,0.0022,7,0.0003
1,0.0001,2,0.042,7,0.002,7,0.0002
7,0.0001,3,0.0227,3,0.0024,7,0.0002
2,0.0001,3,0.0329,7,0.0022,7,0.0002
7,0.0001,3,0.0185,3,0.0026,7,0.0003
1,0.0001,3,0.035,7,0.0024,7,0.0002
7,0.0001,7,0.0434,7,0.0025,7,0.0003
1,0.0001,3,0.0221,7,0.0023,7,0.0002
1,0.0001,1,0.0167,2,0.0022,3,0.0002
7,0.0001,3,0.0342,3,0.0029,3,0.0003
7,0.0002,3,0.0297,3,0.0031,3,0.0004
1,0.0001,1,0.0217,1,0.002,1,0.0002
3,0.0001,3,0.0262,3,0.0024,3,0.0002
7,0.0002,3,0.0266,3,0.0036,3,0.0004
7,0.0001,3,0.0269,3,0.0029,3,0.0003
7,0.0001,3,0.0581,3,0.0028,3,0.0003
