1-gram Character,time,2-gram Character,time,4-gram Character,time,1-gram Word,time,2-gram Word,time
True,0.00166,True,0.00127,True,0.00118,True,0.00112,True,0.00116
True,0.00165,True,0.00114,True,0.00121,True,0.00115,True,0.00127
True,0.0015,True,0.00115,True,0.00117,True,0.0011,True,0.00112
True,0.00164,True,0.00108,True,0.00105,True,0.00104,True,0.00115
True,0.00168,True,0.00118,True,0.0012,True,0.00125,True,0.00114
True,0.00107,True,0.00152,True,0.00121,True,0.00111,True,0.00107
True,0.00107,True,0.00151,True,0.00108,True,0.0011,True,0.00105
True,0.00105,True,0.0011,True,0.00169,True,0.00118,True,0.00105
True,0.00113,True,0.00106,True,0.00151,True,0.00104,True,0.00103
True,0.00106,True,0.00104,True,0.00105,True,0.00114,True,0.00145
True,0.00143,True,0.00135,True,0.00112,True,0.0017,True,0.00119
True,0.00109,True,0.00103,True,0.00102,True,0.00116,True,0.0014
True,0.00109,True,0.00108,True,0.00109,True,0.00104,True,0.00158
True,0.00114,True,0.00158,True,0.00116,True,0.0011,True,0.00106
True,0.00125,True,0.00103,True,0.00105,True,0.00101,True,0.001
True,0.0015,True,0.00103,True,0.00103,True,0.00104,True,0.00103
True,0.00119,True,0.00134,True,0.00102,True,0.00101,True,0.001
True,0.00102,True,0.00135,True,0.00111,True,0.00101,True,0.00102
True,0.00106,True,0.00109,True,0.00105,True,0.00154,True,0.00109
True,0.00107,True,0.00104,True,0.00104,True,0.00151,True,0.00105
True,0.00108,True,0.00107,True,0.00105,True,0.00105,True,0.00152
True,0.00102,True,0.00102,True,0.00104,True,0.00103,True,0.00108
True,0.00112,True,0.00101,True,0.001,True,0.001,True,0.00101
True,0.00104,True,0.00152,True,0.00104,True,0.00103,True,0.00102
True,0.00104,True,0.00131,True,0.00121,True,0.001,True,0.00101
True,0.00103,True,0.00101,True,0.00129,True,0.00118,True,0.00105
True,0.00106,True,0.00104,True,0.00102,True,0.00147,True,0.00106
True,0.00107,True,0.00103,True,0.00102,True,0.00104,True,0.00107
True,0.00116,True,0.00104,True,0.00102,True,0.00104,True,0.00103
True,0.00163,True,0.00114,True,0.00115,True,0.0016,True,0.00119
True,0.00126,True,0.00106,True,0.00106,True,0.00105,True,0.00104
True,0.00151,True,0.00103,True,0.00102,True,0.00101,True,0.001
True,0.00102,True,0.00107,True,0.00147,True,0.00103,True,0.00101
True,0.0011,True,0.0011,True,0.00156,True,0.00108,True,0.00118
True,0.00116,True,0.0011,True,0.00142,True,0.00128,True,0.00135
True,0.00109,True,0.00104,True,0.00118,True,0.00135,True,0.00102
True,0.00106,True,0.00103,True,0.00103,True,0.00102,True,0.00141
True,0.00108,True,0.00105,True,0.00105,True,0.00106,True,0.00127
True,0.00114,True,0.00113,True,0.00112,True,0.00111,True,0.00111
True,0.00131,True,0.00111,True,0.00104,True,0.00107,True,0.00112
True,0.00169,True,0.00123,True,0.00115,True,0.00112,True,0.00115
True,0.00118,True,0.0015,True,0.00107,True,0.00112,True,0.00109
True,0.00108,True,0.0015,True,0.00113,True,0.00109,True,0.00107
False,0.00111,False,0.00119,False,0.00138,False,0.00109,False,0.00105
True,0.00106,True,0.00104,True,0.00155,True,0.00106,True,0.00103
True,0.00105,True,0.00104,True,0.00107,True,0.0012,True,0.00133
True,0.00105,True,0.00103,True,0.00102,True,0.00103,True,0.00153
True,0.00109,True,0.0011,True,0.00107,True,0.00107,True,0.00117
True,0.00118,True,0.00106,True,0.00106,True,0.00104,True,0.00103
True,0.0016,True,0.00107,True,0.00106,True,0.00106,True,0.00107
True,0.00111,True,0.00158,True,0.00109,True,0.00106,True,0.00128
True,0.00109,True,0.00151,True,0.00102,True,0.00102,True,0.00101
True,0.00105,True,0.00104,True,0.00153,True,0.00106,True,0.00105
True,0.0011,True,0.00108,True,0.00127,True,0.00138,True,0.00108
True,0.00111,True,0.0011,True,0.00109,True,0.00123,True,0.00143
True,0.00105,True,0.00103,True,0.00103,True,0.00104,True,0.00146
True,0.00108,True,0.00109,True,0.00105,True,0.00105,True,0.00105
True,0.0013,True,0.00104,True,0.00104,True,0.00103,True,0.00105
True,0.00153,True,0.00104,True,0.00103,True,0.00103,True,0.00108
True,0.00105,True,0.00133,True,0.00119,True,0.00101,True,0.00101
True,0.00104,True,0.00102,True,0.00131,True,0.00121,True,0.00105
True,0.00104,True,0.00102,True,0.00103,True,0.0015,True,0.00104
True,0.00105,True,0.00103,True,0.00102,True,0.00109,True,0.00148
True,0.0011,True,0.00104,True,0.00104,True,0.00102,True,0.00102
True,0.00127,True,0.00112,True,0.00116,True,0.00109,True,0.00106
True,0.00136,True,0.00113,True,0.00101,True,0.001,True,0.00099
True,0.00103,True,0.0015,True,0.00103,True,0.00102,True,0.00101
True,0.0011,True,0.00118,True,0.00144,True,0.00107,True,0.00113
True,0.00108,True,0.00105,True,0.00152,True,0.00105,True,0.00104
True,0.00102,True,0.00101,True,0.001,True,0.00099,True,0.00168
True,0.0011,True,0.00105,True,0.00104,True,0.00105,True,0.00153
True,0.00104,True,0.00103,True,0.00102,True,0.00127,True,0.00132
True,0.00108,True,0.00104,True,0.00104,True,0.00102,True,0.00102
True,0.00149,True,0.00104,True,0.00102,True,0.00102,True,0.00102
True,0.00113,True,0.00134,True,0.00138,True,0.00107,True,0.00105
True,0.00123,True,0.00156,True,0.00106,True,0.00105,True,0.00104
True,0.0011,True,0.00107,True,0.00156,True,0.00107,True,0.00106
True,0.00106,True,0.00103,True,0.00121,True,0.00131,True,0.0015
True,0.00114,True,0.0011,True,0.00107,True,0.00125,True,0.00138
True,0.00108,True,0.00106,True,0.00108,True,0.00121,True,0.0014
True,0.00114,True,0.00109,True,0.0011,True,0.00113,True,0.00158
True,0.00107,True,0.00105,True,0.00106,True,0.00105,True,0.00116
True,0.00116,True,0.00108,True,0.00106,True,0.00107,True,0.00106
True,0.00122,True,0.00143,True,0.00106,True,0.00105,True,0.00104
True,0.00103,True,0.00148,True,0.00102,True,0.00102,True,0.00101
True,0.00103,True,0.00102,True,0.00152,True,0.00102,True,0.00104
True,0.00105,True,0.00101,True,0.00112,True,0.00137,True,0.00101
True,0.00112,True,0.00111,True,0.0011,True,0.00109,True,0.00161
True,0.00107,True,0.00104,True,0.00106,True,0.00106,True,0.00142
True,0.00103,True,0.00103,True,0.00102,True,0.00101,True,0.00101
True,0.00156,True,0.00105,True,0.00104,True,0.00102,True,0.00101
True,0.00131,True,0.00124,True,0.00115,True,0.00111,True,0.00105
True,0.00105,True,0.00113,True,0.00147,True,0.0012,True,0.00119
True,0.00125,True,0.00131,True,0.00144,True,0.00108,True,0.00148
True,0.00111,True,0.00119,True,0.00142,True,0.00107,True,0.00105
True,0.00109,True,0.00113,True,0.00155,True,0.00107,True,0.00106
True,0.0011,True,0.00105,True,0.00104,True,0.00158,True,0.00108
True,0.00105,True,0.00103,True,0.00107,True,0.00122,True,0.00138
True,0.00109,True,0.00111,True,0.00106,True,0.00108,True,0.00147
True,0.00119,True,0.00109,True,0.00107,True,0.00113,True,0.00124
True,0.00104,True,0.00106,True,0.00109,True,0.00103,True,0.00105
True,0.00141,True,0.00132,True,0.00108,True,0.00108,True,0.00113
True,0.00193,True,0.00132,True,0.00109,True,0.00106,True,0.00105
True,0.00123,True,0.00137,True,0.00107,True,0.00111,True,0.00106
True,0.00104,True,0.00158,True,0.00113,True,0.00114,True,0.00103
True,0.0011,True,0.00107,True,0.00159,True,0.0011,True,0.00107
True,0.00123,True,0.0011,True,0.00136,True,0.00128,True,0.00123
True,0.00108,True,0.00105,True,0.00108,True,0.00153,True,0.00105
True,0.00106,True,0.00108,True,0.00103,True,0.0014,True,0.00132
True,0.00114,True,0.00108,True,0.00155,True,0.0014,True,0.00137
True,0.0011,True,0.00106,True,0.00106,True,0.00104,True,0.00144
True,0.00122,True,0.00118,True,0.00124,True,0.00124,True,0.00168
True,0.0012,True,0.00118,True,0.00122,True,0.0011,True,0.00153
True,0.00109,True,0.00116,True,0.00106,True,0.00106,True,0.00117
True,0.00126,True,0.00114,True,0.00159,True,0.00122,True,0.00122
True,0.00153,True,0.00107,True,0.00103,True,0.00104,True,0.00107
True,0.00169,True,0.00113,True,0.00115,True,0.0011,True,0.00114
True,0.00148,True,0.00112,True,0.00107,True,0.0011,True,0.00105
True,0.00121,True,0.00147,True,0.00109,True,0.0012,True,0.00113
True,0.00109,True,0.00104,True,0.00174,True,0.00135,True,0.00112
True,0.00127,True,0.00161,True,0.00112,True,0.00111,True,0.00118
True,0.00106,True,0.00112,True,0.00153,True,0.00105,True,0.00108
True,0.00108,True,0.00109,True,0.00156,True,0.00106,True,0.00108
True,0.0011,True,0.00107,True,0.00104,True,0.00115,True,0.00156
True,0.00125,True,0.00118,True,0.00107,True,0.00147,True,0.00105
True,0.00127,True,0.0014,True,0.00137,True,0.00175,True,0.00116
True,0.00112,True,0.00108,True,0.00106,True,0.00153,True,0.00116
True,0.00134,True,0.00136,True,0.00117,True,0.00111,True,0.00157
True,0.00117,True,0.00118,True,0.00114,True,0.0012,True,0.00155
True,0.00106,True,0.00104,True,0.00133,True,0.00127,True,0.00158
True,0.00111,True,0.00108,True,0.00107,True,0.00107,True,0.00151
True,0.00104,True,0.00102,True,0.00105,True,0.00109,True,0.00108
True,0.00181,True,0.00111,True,0.00105,True,0.00104,True,0.00105
True,0.00158,True,0.0011,True,0.0011,True,0.00108,True,0.00109
True,0.00125,True,0.00146,True,0.00115,True,0.00117,True,0.00114
True,0.00107,True,0.00157,True,0.00107,True,0.00105,True,0.00107
True,0.00105,True,0.00104,True,0.00136,True,0.00117,True,0.00101
True,0.00102,True,0.00105,True,0.00109,True,0.00143,True,0.00104
True,0.00105,True,0.00105,True,0.0011,True,0.00125,True,0.00135
True,0.00114,True,0.00115,True,0.00103,True,0.00102,True,0.00154
True,0.00105,True,0.00104,True,0.00103,True,0.00101,True,0.00101
True,0.00156,True,0.00106,True,0.00105,True,0.00102,True,0.00102
True,0.00133,True,0.00121,True,0.00104,True,0.00141,True,0.00119
True,0.00118,True,0.00152,True,0.00109,True,0.00108,True,0.00107
True,0.00103,True,0.00149,True,0.00104,True,0.00101,True,0.00101
True,0.00105,True,0.00127,True,0.0017,True,0.00121,True,0.00109
True,0.00106,True,0.00103,True,0.00123,True,0.00124,True,0.00104
True,0.00106,True,0.00102,True,0.00103,True,0.00123,True,0.00129
True,0.00109,True,0.00107,True,0.00106,True,0.00105,True,0.00152
True,0.00104,True,0.00103,True,0.00103,True,0.00102,True,0.00102
