polyglot,time,langDedect,time,langid,time,fasttext,time
2,0.0003,2,0.2402,2,1.1949,7,0.0003
2,0.0002,1,0.0305,1,0.0024,2,0.0003
2,0.0002,2,0.0395,7,0.0026,7,0.0003
7,0.0002,3,0.0231,3,0.0053,7,0.0005
7,0.0002,3,0.0298,3,0.004,7,0.0006
2,0.0001,1,0.022,1,0.0023,7,0.0003
2,0.0001,1,0.0255,7,0.0024,2,0.0002
7,0.0002,3,0.0264,3,0.0035,7,0.0004
7,0.0002,3,0.0305,3,0.0033,7,0.0004
2,0.0001,1,0.0198,1,0.0025,7,0.0003
2,0.0001,1,0.0264,1,0.0031,2,0.0003
7,0.0002,3,0.0369,3,0.0053,3,0.0005
2,0.0002,1,0.0228,1,0.0027,3,0.0004
7,0.0002,7,0.0562,3,0.0029,1,0.0004
7,0.0002,3,0.0389,3,0.0033,7,0.0004
2,0.0002,7,0.0284,1,0.0026,7,0.0003
2,0.0002,2,0.0403,1,0.0027,1,0.0004
7,0.0002,7,0.0325,3,0.0033,3,0.0005
2,0.0002,2,0.0414,1,0.0025,7,0.0003
2,0.0002,2,0.0341,3,0.0027,7,0.0004
2,0.0002,7,0.0786,1,0.0027,1,0.0004
7,0.0002,3,0.0473,3,0.0029,7,0.0005
2,0.0004,2,0.0279,1,0.0024,1,0.0003
2,0.0001,3,0.0733,1,0.0037,2,0.0003
2,0.0002,3,0.0666,1,0.0026,2,0.0004
2,0.0002,7,0.0501,1,0.0026,2,0.0004
7,0.0002,3,0.0628,7,0.0029,3,0.0004
1,0.0004,7,0.0544,1,0.0026,3,0.0004
2,0.0001,1,0.0302,1,0.0027,2,0.0003
2,0.0002,3,0.1151,1,0.0025,1,0.0003
2,0.0002,1,0.0261,2,0.007,7,0.0003
7,0.0002,7,0.0477,7,0.0077,7,0.0004
7,0.0002,2,0.034,2,0.0031,7,0.0004
2,0.0002,1,0.0228,1,0.0025,7,0.0003
2,0.0002,2,0.0407,2,0.011,7,0.0003
2,0.0002,1,0.0366,1,0.003,2,0.0004
2,0.0002,1,0.0382,7,0.0031,7,0.0004
7,0.0002,3,0.0385,7,0.0036,7,0.0006
7,0.0002,3,0.0259,3,0.0038,7,0.0004
7,0.0002,3,0.027,3,0.0033,7,0.0004
2,0.0001,1,0.0219,2,0.0026,7,0.0003
7,0.0002,3,0.0317,7,0.0035,7,0.0005
2,0.0002,2,0.0425,7,0.003,7,0.0004
7,0.0002,2,0.0361,7,0.0031,7,0.0004
7,0.0002,3,0.0372,3,0.0036,7,0.0005
2,0.0001,1,0.0237,2,0.0025,2,0.0003
2,0.0002,1,0.0229,1,0.0028,7,0.0004
2,0.0001,1,0.0236,1,0.0025,2,0.0003
1,0.0001,1,0.0343,1,0.0026,1,0.0003
2,0.0001,2,0.0283,7,0.0027,7,0.0003
7,0.0002,7,0.0426,3,0.0034,7,0.0004
7,0.0002,7,0.0524,3,0.0044,7,0.0005
7,0.0002,7,0.0561,3,0.0039,7,0.0004
7,0.0002,7,0.0459,3,0.0034,7,0.0004
7,0.0002,3,0.0442,3,0.0042,3,0.0006
7,0.0002,3,0.0351,3,0.0051,3,0.0007
7,0.0002,7,0.038,3,0.0041,7,0.0005
7,0.0002,7,0.0512,3,0.0033,7,0.0004
1,0.0001,1,0.0257,1,0.0026,2,0.0003
7,0.0002,3,0.0304,3,0.0045,7,0.0006
2,0.0001,1,0.0322,2,0.0025,7,0.0003
2,0.0001,2,0.0257,2,0.0027,7,0.0003
7,0.0002,3,0.0476,7,0.003,7,0.0004
2,0.0001,2,0.027,2,0.0025,7,0.0003
2,0.0001,2,0.0351,2,0.0025,7,0.0003
7,0.0002,3,0.0338,3,0.0031,7,0.0004
2,0.0002,2,0.0474,2,0.0027,7,0.0004
2,0.0001,1,0.0193,1,0.0024,7,0.0003
7,0.0002,3,0.0343,7,0.0034,7,0.0004
2,0.0001,2,0.0361,2,0.0025,7,0.0003
3,0.0002,3,0.0179,3,0.0027,3,0.0004
3,0.0002,3,0.0143,3,0.0026,3,0.0004
3,0.0001,3,0.0136,3,0.0023,3,0.0003
3,0.0001,3,0.0177,3,0.0025,3,0.0003
3,0.0002,3,0.0204,3,0.0026,3,0.0004
3,0.0002,3,0.0163,3,0.0028,3,0.0003
3,0.0001,3,0.0147,3,0.0022,3,0.0003
3,0.0002,3,0.0197,3,0.0031,3,0.0005
3,0.0002,3,0.0199,3,0.0034,3,0.0005
3,0.0002,3,0.0195,3,0.003,3,0.0004
7,0.0002,3,0.0305,3,0.0045,7,0.0006
7,0.0002,7,0.0446,3,0.0032,7,0.0004
7,0.0002,3,0.0281,3,0.0034,7,0.0004
7,0.0002,7,0.0361,3,0.003,7,0.0003
7,0.0002,3,0.0439,7,0.0033,7,0.0004
2,0.0001,2,0.0567,7,0.0027,7,0.0003
7,0.0002,7,0.044,3,0.003,7,0.0004
7,0.0002,7,0.0483,3,0.003,7,0.0004
7,0.0002,7,0.0415,3,0.0031,7,0.0004
2,0.0002,2,0.0419,7,0.0029,7,0.0003
2,0.0002,7,0.0405,1,0.0028,7,0.0003
1,0.0001,1,0.0201,1,0.0024,1,0.0003
2,0.0001,2,0.0287,1,0.0028,3,0.0003
7,0.0002,2,0.0326,1,0.0028,7,0.0004
7,0.0002,3,0.0335,3,0.0033,3,0.0005
7,0.0002,3,0.0341,3,0.004,3,0.0007
2,0.0003,2,0.034,1,0.0027,2,0.0004
7,0.0002,3,0.0551,3,0.0036,3,0.0006
7,0.0002,3,0.0408,3,0.0094,3,0.0004
