Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
Hello world this is testing number 2 {'encoding': 'ascii', 'confidence': 1.0, 'language': ''}
