Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], [array([0.8843549], dtype=float32)])
Hello world this is testing number 2 : ([['__label__en']], array([[0.88435489]]))
Hello world this is testing number 2 : ([['__label__en']], array([[0.88435489]]))
